iter	Passed	Remaining
0	2	2943
1	5	2613
2	7	2519
3	10	2523
4	12	2467
5	14	2459
6	17	2430
7	19	2401
8	21	2397
9	24	2392
10	26	2410
11	29	2410
12	31	2392
13	33	2384
14	36	2373
15	38	2373
16	41	2374
17	43	2365
18	45	2354
19	48	2355
20	50	2351
21	52	2341
22	55	2347
23	57	2342
24	59	2337
25	62	2333
26	64	2327
27	66	2321
28	69	2324
29	71	2324
30	74	2323
31	76	2322
32	79	2330
33	82	2330
34	84	2325
35	87	2333
36	89	2335
37	92	2330
38	94	2325
39	96	2318
40	99	2316
41	101	2312
42	103	2307
43	106	2303
44	108	2299
45	110	2293
46	112	2288
47	115	2282
48	117	2279
49	120	2282
50	122	2278
51	124	2272
52	126	2267
53	129	2262
54	131	2256
55	133	2252
56	135	2247
57	138	2241
58	140	2237
59	142	2232
60	145	2232
61	147	2232
62	149	2230
63	152	2227
64	154	2225
65	156	2221
66	159	2216
67	161	2212
68	163	2210
69	166	2215
70	169	2213
71	171	2212
72	174	2209
73	176	2207
74	178	2204
75	181	2208
76	184	2213
77	186	2210
78	189	2208
79	192	2208
80	194	2208
81	197	2206
82	199	2208
83	202	2206
84	204	2204
85	207	2200
86	209	2198
87	211	2196
88	215	2204
89	217	2200
90	220	2197
91	222	2193
92	224	2191
93	226	2186
94	229	2182
95	231	2184
96	234	2181
97	236	2176
98	238	2173
99	241	2170
100	243	2167
101	245	2164
102	248	2161
103	250	2159
104	252	2155
105	255	2156
106	258	2159
107	261	2163
108	264	2162
109	266	2159
110	269	2156
111	271	2151
112	273	2148
113	275	2144
114	278	2140
115	280	2136
116	282	2131
117	284	2127
118	286	2123
119	289	2119
120	291	2115
121	293	2112
122	295	2109
123	298	2105
124	300	2101
125	302	2096
126	304	2093
127	306	2089
128	308	2085
129	311	2081
130	313	2077
131	315	2073
132	317	2069
133	319	2066
134	321	2063
135	324	2059
136	326	2058
137	328	2054
138	331	2050
139	333	2046
140	335	2042
141	337	2039
142	339	2034
143	341	2031
144	343	2027
145	345	2023
146	347	2019
147	350	2015
148	352	2010
149	354	2006
150	356	2005
151	358	2002
152	360	1998
153	363	1994
154	365	1992
155	367	1988
156	369	1984
157	371	1980
158	373	1976
159	375	1973
160	377	1969
161	380	1965
162	382	1962
163	384	1958
164	386	1954
165	388	1951
166	390	1948
167	392	1945
168	394	1942
169	397	1938
170	399	1934
171	401	1931
172	403	1927
173	405	1925
174	407	1922
175	410	1919
176	412	1917
177	414	1914
178	416	1910
179	418	1906
180	420	1903
181	422	1900
182	424	1897
183	426	1893
184	429	1890
185	431	1886
186	433	1883
187	435	1879
188	437	1877
189	439	1874
190	441	1871
191	443	1868
192	446	1865
193	448	1861
194	450	1858
195	452	1855
196	454	1852
197	456	1848
198	458	1845
199	460	1842
200	462	1838
201	464	1836
202	466	1833
203	469	1830
204	471	1826
205	473	1823
206	475	1820
207	477	1817
208	479	1814
209	481	1810
210	483	1807
211	485	1804
212	487	1801
213	489	1798
214	491	1795
215	493	1792
216	495	1789
217	498	1786
218	500	1783
219	502	1780
220	504	1777
221	506	1775
222	508	1773
223	511	1770
224	513	1767
225	515	1764
226	517	1762
227	519	1759
228	521	1756
229	523	1753
230	525	1750
231	527	1747
232	530	1744
233	532	1741
234	534	1739
235	536	1736
236	538	1733
237	540	1730
238	542	1727
239	544	1725
240	546	1722
241	548	1719
242	551	1716
243	553	1713
244	555	1710
245	557	1708
246	559	1705
247	561	1702
248	563	1699
249	565	1697
250	567	1694
251	569	1691
252	571	1688
253	574	1685
254	576	1683
255	578	1680
256	580	1678
257	582	1676
258	585	1674
259	587	1672
260	590	1670
261	592	1668
262	594	1666
263	596	1663
264	598	1661
265	601	1658
266	603	1656
267	605	1653
268	607	1650
269	609	1648
270	611	1645
271	613	1643
272	616	1640
273	618	1638
274	620	1636
275	622	1633
276	625	1631
277	627	1628
278	629	1626
279	631	1624
280	633	1621
281	635	1619
282	638	1616
283	640	1614
284	642	1611
285	645	1610
286	647	1608
287	649	1605
288	651	1603
289	653	1601
290	656	1598
291	658	1596
292	660	1594
293	663	1593
294	665	1591
295	668	1589
296	670	1586
297	672	1584
298	674	1582
299	677	1580
300	679	1578
301	681	1576
302	684	1574
303	686	1571
304	688	1569
305	691	1567
306	693	1565
307	695	1563
308	698	1561
309	700	1559
310	703	1557
311	705	1555
312	708	1554
313	710	1552
314	713	1550
315	715	1548
316	717	1546
317	720	1544
318	722	1542
319	724	1540
320	726	1537
321	729	1535
322	731	1533
323	733	1531
324	736	1528
325	738	1526
326	740	1524
327	743	1522
328	745	1520
329	747	1517
330	749	1515
331	752	1513
332	754	1511
333	756	1509
334	759	1507
335	761	1504
336	763	1502
337	765	1500
338	768	1497
339	770	1495
340	772	1493
341	775	1491
342	777	1490
343	780	1487
344	782	1485
345	784	1483
346	787	1481
347	789	1478
348	791	1476
349	793	1473
350	795	1470
351	797	1468
352	799	1465
353	801	1463
354	804	1461
355	806	1458
356	808	1455
357	810	1453
358	812	1450
359	814	1447
360	816	1445
361	818	1443
362	821	1440
363	823	1438
364	825	1435
365	827	1433
366	829	1431
367	831	1428
368	833	1425
369	836	1423
370	838	1421
371	840	1418
372	842	1415
373	844	1413
374	846	1410
375	848	1408
376	850	1405
377	853	1403
378	855	1401
379	857	1398
380	859	1396
381	861	1394
382	863	1391
383	866	1389
384	868	1386
385	870	1384
386	872	1381
387	874	1379
388	876	1376
389	878	1374
390	880	1371
391	882	1369
392	884	1366
393	886	1364
394	888	1361
395	890	1358
396	893	1356
397	895	1353
398	897	1351
399	899	1348
400	901	1346
401	903	1343
402	905	1341
403	907	1339
404	909	1336
405	911	1333
406	913	1331
407	915	1328
408	917	1326
409	919	1323
410	921	1321
411	924	1318
412	926	1316
413	928	1313
414	930	1311
415	932	1308
416	934	1306
417	936	1303
418	938	1301
419	940	1298
420	942	1296
421	944	1293
422	946	1291
423	948	1288
424	950	1286
425	952	1283
426	954	1281
427	956	1278
428	958	1276
429	960	1273
430	962	1271
431	964	1268
432	967	1266
433	969	1263
434	971	1261
435	973	1258
436	975	1256
437	977	1253
438	979	1251
439	981	1248
440	983	1247
441	986	1244
442	988	1242
443	990	1239
444	992	1237
445	994	1234
446	996	1232
447	998	1230
448	1000	1227
449	1002	1225
450	1004	1222
451	1006	1220
452	1008	1217
453	1010	1215
454	1012	1213
455	1014	1210
456	1016	1208
457	1018	1205
458	1020	1203
459	1023	1200
460	1025	1198
461	1027	1196
462	1029	1193
463	1031	1191
464	1033	1189
465	1036	1187
466	1038	1185
467	1040	1183
468	1042	1180
469	1045	1178
470	1047	1176
471	1049	1173
472	1051	1171
473	1053	1168
474	1055	1166
475	1057	1164
476	1059	1161
477	1061	1159
478	1063	1157
479	1065	1154
480	1067	1152
481	1070	1149
482	1072	1147
483	1074	1145
484	1076	1142
485	1078	1140
486	1080	1138
487	1082	1136
488	1084	1133
489	1086	1131
490	1089	1128
491	1091	1126
492	1093	1124
493	1095	1121
494	1097	1119
495	1099	1116
496	1101	1114
497	1103	1112
498	1105	1109
499	1107	1107
500	1109	1105
501	1111	1102
502	1113	1100
503	1115	1098
504	1118	1095
505	1120	1093
506	1122	1091
507	1124	1089
508	1126	1086
509	1128	1084
510	1130	1081
511	1132	1079
512	1134	1077
513	1136	1075
514	1139	1072
515	1141	1070
516	1143	1068
517	1145	1065
518	1147	1063
519	1149	1061
520	1151	1058
521	1153	1056
522	1155	1054
523	1157	1051
524	1159	1049
525	1162	1047
526	1164	1044
527	1166	1042
528	1168	1040
529	1170	1037
530	1172	1035
531	1174	1033
532	1176	1030
533	1178	1028
534	1181	1026
535	1183	1024
536	1185	1021
537	1187	1019
538	1189	1017
539	1191	1014
540	1193	1012
541	1195	1010
542	1197	1007
543	1199	1005
544	1201	1003
545	1203	1000
546	1205	998
547	1207	996
548	1210	994
549	1213	992
550	1215	990
551	1217	988
552	1219	985
553	1221	983
