iter	Passed	Remaining
0	68	34268
1	115	28848
2	161	26684
3	205	25426
4	252	24975
5	298	24561
6	345	24331
7	391	24090
8	435	23759
9	482	23629
10	530	23572
11	598	24328
12	668	25043
13	726	25216
14	782	25286
15	835	25285
16	888	25241
17	954	25553
18	1008	25521
19	1073	25770
20	1140	26010
21	1201	26109
22	1295	26869
23	1373	27240
24	1431	27191
25	1478	26952
26	1524	26701
27	1571	26491
28	1619	26301
29	1664	26072
30	1713	25918
31	1775	25967
32	1825	25840
33	1875	25710
34	1928	25621
35	1979	25515
36	2028	25382
37	2088	25391
38	2146	25372
39	2203	25345
40	2263	25338
41	2324	25345
42	2380	25300
43	2430	25185
44	2473	25005
45	2518	24858
46	2560	24680
47	2603	24517
48	2647	24371
49	2692	24230
50	2734	24077
51	2780	23954
52	2819	23775
53	2860	23629
54	2904	23503
55	2957	23451
56	3002	23336
57	3048	23229
58	3093	23120
59	3136	23002
60	3179	22883
61	3218	22740
62	3258	22602
63	3299	22479
64	3343	22375
65	3388	22281
66	3432	22180
67	3473	22064
68	3512	21939
69	3561	21877
70	3605	21782
71	3646	21677
72	3688	21576
73	3730	21474
74	3772	21378
75	3813	21276
76	3854	21173
77	3893	21064
78	3944	21021
79	3988	20939
80	4031	20855
81	4068	20737
82	4117	20686
83	4157	20590
84	4200	20510
85	4243	20427
86	4292	20376
87	4340	20322
88	4383	20244
89	4433	20195
90	4477	20122
91	4523	20062
92	4566	19985
93	4613	19927
94	4660	19870
95	4708	19816
96	4755	19756
97	4799	19689
98	4845	19626
99	4892	19568
100	4939	19513
101	4990	19471
102	5034	19402
103	5078	19338
104	5126	19286
105	5188	19284
106	5233	19223
107	5276	19153
108	5323	19097
109	5372	19046
110	5419	18991
111	5463	18927
112	5508	18865
113	5553	18803
114	5597	18739
115	5641	18674
116	5691	18632
117	5739	18580
118	5786	18527
119	5832	18469
120	5880	18418
121	5935	18390
122	5984	18342
123	6030	18284
124	6075	18226
125	6120	18168
126	6164	18104
127	6211	18051
128	6255	17991
129	6299	17928
130	6342	17866
131	6383	17797
132	6427	17734
133	6467	17665
134	6512	17607
135	6554	17542
136	6600	17489
137	6651	17448
138	6694	17387
139	6743	17341
140	6792	17294
141	6838	17241
142	6887	17193
143	6939	17155
144	6994	17123
145	7037	17063
146	7083	17009
147	7129	16957
148	7173	16897
149	7216	16837
150	7263	16788
151	7305	16724
152	7346	16662
153	7389	16603
154	7433	16544
155	7476	16487
156	7520	16430
157	7562	16369
158	7604	16308
159	7644	16244
160	7685	16183
161	7731	16131
162	7781	16087
163	7826	16034
164	7868	15975
165	7912	15919
166	7959	15870
167	8005	15819
168	8049	15766
169	8094	15713
170	8138	15657
171	8183	15605
172	8224	15546
173	8270	15495
174	8319	15451
175	8365	15400
176	8407	15342
177	8451	15288
178	8496	15237
179	8537	15178
180	8580	15121
181	8626	15072
182	8673	15024
183	8720	14976
184	8767	14928
185	8813	14878
186	8860	14830
187	8908	14783
188	8956	14738
189	9002	14689
190	9050	14641
191	9097	14593
192	9142	14542
193	9188	14493
194	9233	14441
195	9277	14389
196	9323	14339
197	9375	14299
198	9421	14250
199	9466	14199
200	9513	14151
201	9558	14100
202	9601	14048
203	9649	14001
204	9692	13947
205	9734	13892
206	9776	13837
207	9817	13782
208	9860	13728
209	9907	13681
210	9956	13637
211	10002	13587
212	10051	13544
213	10097	13494
214	10139	13440
215	10182	13387
216	10225	13335
217	10269	13284
218	10315	13236
219	10357	13181
220	10401	13130
221	10448	13084
222	10490	13030
223	10533	12978
224	10576	12926
225	10621	12877
226	10664	12825
227	10706	12773
228	10750	12722
229	10792	12668
230	10841	12625
231	10891	12581
232	10938	12534
233	10983	12485
234	11034	12443
235	11081	12396
236	11124	12345
237	11171	12298
238	11215	12247
239	11263	12201
240	11309	12153
241	11356	12107
242	11398	12055
243	11446	12009
244	11493	11962
245	11544	11920
246	11587	11868
247	11633	11821
248	11678	11771
249	11726	11726
250	11773	11679
251	11818	11630
252	11870	11588
253	11924	11549
254	11972	11502
255	12026	11462
256	12073	11416
257	12121	11370
258	12167	11321
259	12215	11276
260	12261	11227
261	12310	11182
262	12357	11135
263	12407	11091
264	12455	11045
265	12501	10997
266	12551	10952
267	12596	10904
268	12642	10856
269	12689	10809
270	12731	10758
271	12773	10707
272	12816	10656
273	12863	10609
274	12907	10560
275	12956	10515
276	13001	10467
277	13049	10420
278	13098	10375
279	13143	10326
280	13188	10278
281	13234	10230
282	13284	10186
283	13331	10139
284	13379	10093
285	13425	10045
286	13473	9999
287	13521	9952
288	13567	9905
289	13619	9862
290	13668	9816
291	13720	9773
292	13768	9727
293	13820	9683
294	13868	9637
295	13917	9591
296	13967	9546
297	14016	9501
298	14071	9459
299	14120	9413
300	14174	9371
301	14219	9322
302	14269	9277
303	14319	9232
304	14363	9183
305	14420	9142
306	14472	9098
307	14522	9053
308	14570	9006
309	14619	8960
310	14669	8914
311	14720	8869
312	14769	8823
313	14817	8777
314	14866	8731
315	14916	8685
316	14964	8638
317	15013	8592
318	15057	8543
319	15104	8496
320	15152	8449
321	15206	8406
322	15253	8358
323	15302	8312
324	15350	8265
325	15402	8221
326	15445	8171
327	15494	8125
328	15545	8079
329	15594	8033
330	15646	7988
331	15697	7943
332	15749	7898
333	15797	7851
334	15840	7802
335	15887	7754
336	15931	7705
337	15973	7656
338	16019	7608
339	16072	7563
340	16119	7516
341	16168	7469
342	16216	7422
343	16265	7376
344	16314	7329
345	16362	7282
346	16414	7237
347	16480	7198
348	16541	7156
349	16602	7115
350	16661	7072
351	16720	7030
352	16778	6987
353	16834	6942
354	16903	6904
355	16959	6859
356	17040	6825
357	17100	6782
358	17159	6739
359	17213	6694
360	17268	6649
361	17326	6604
362	17379	6559
363	17433	6513
364	17484	6466
365	17536	6420
366	17602	6379
367	17658	6333
368	17708	6286
369	17761	6240
